nc,eta,epochs,time,var
1,0.005,5,9.964,45.858
2,0.005,21,48.845,64.364
3,0.005,21,60.237,79.079
4,0.005,53,206.873,83.875
5,0.005,150,612.895,87.746
6,0.005,100,478.143,91.164
7,0.005,139,766.810,93.748
8,0.005,121,722.825,95.238
9,0.005,150,975.216,96.201
10,0.005,150,1093.563,96.393
1,0.01,3,5.423,45.847
2,0.01,10,23.054,64.353
3,0.01,8,22.849,79.075
4,0.01,29,112.947,83.872
5,0.01,44,177.139,87.743
6,0.01,76,377.885,91.161
7,0.01,87,601.739,93.745
8,0.01,63,656.645,95.235
9,0.01,88,629.651,96.200
10,0.01,138,1051.675,96.799
1,0.05,3,4.739,45.753
2,0.05,4,9.410,64.218
3,0.05,5,14.476,78.983
4,0.05,6,23.268,83.783
5,0.05,7,27.349,87.645
6,0.05,8,40.509,91.062
7,0.05,9,47.697,93.644
8,0.05,10,62.198,95.132
9,0.05,11,72.404,95.290
10,0.05,12,89.804,96.160
1,0.1,3,6.624,45.847
2,0.1,4,9.811,64.136
3,0.1,5,14.508,78.910
4,0.1,6,21.145,83.722
5,0.1,7,34.193,87.579
6,0.1,8,41.580,90.987
7,0.1,9,61.898,93.566
8,0.1,10,70.547,95.060
9,0.1,11,78.021,96.020
10,0.1,12,119.580,96.613
